,VGS,L,W,ID_NMOS,ID_PMOS,gm_NMOS,gm_PMOS,gds_NMOS,gds_PMOS,Vov_NMOS,Vstar_NMOS,Vov_PMOS,Vstar_PMOS
1,0.0,1e-07,5e-07,5.86305e-12,-3.005479e-13,1.570313e-10,7.654918e-12,6.640327e-12,8.574442e-13,-0.5210703,0.07467362,0.6285337,-0.07852414
2,0.01,1e-07,5e-07,7.663681e-12,-3.877275e-13,2.052429e-10,9.875116e-12,8.679408e-12,1.106137e-12,-0.5110703,0.07467914,0.6185337,-0.07852617
3,0.02,1e-07,5e-07,1.00171e-11,-5.001916e-13,2.682477e-10,1.273912e-11,1.134435e-11,1.426947e-12,-0.5010703,0.07468545,0.6085337,-0.07852847
4,0.03,1e-07,5e-07,1.309291e-11,-6.452719e-13,3.505809e-10,1.643354e-11,1.482711e-11,1.840779e-12,-0.4910703,0.07469266,0.5985337,-0.07853108
5,0.04,1e-07,5e-07,1.711269e-11,-8.324252e-13,4.581656e-10,2.119909e-11,1.937844e-11,2.374596e-12,-0.4810703,0.0747009,0.5885337,-0.07853405
6,0.05,1e-07,5e-07,2.236592e-11,-1.073849e-12,5.98737e-10,2.734617e-11,2.532589e-11,3.063173e-12,-0.4710703,0.07471032,0.5785337,-0.07853742
7,0.06,1e-07,5e-07,2.923072e-11,-1.385275e-12,7.823954e-10,3.52751e-11,3.309723e-11,3.951355e-12,-0.4610703,0.07472108,0.5685337,-0.07854125
8,0.07,1e-07,5e-07,3.820096e-11,-1.786995e-12,1.022327e-09,4.55021e-11,4.325108e-11,5.096973e-12,-0.4510703,0.07473338,0.5585337,-0.0785456
9,0.08,1e-07,5e-07,4.992161e-11,-2.305175e-12,1.335741e-09,5.869279e-11,5.651681e-11,6.5746e-12,-0.4410703,0.07474742,0.5485337,-0.07855054
10,0.09,1e-07,5e-07,6.523484e-11,-2.973563e-12,1.745099e-09,7.570542e-11,7.384654e-11,8.480386e-12,-0.4310703,0.07476347,0.5385337,-0.07855614
11,0.1,1e-07,5e-07,8.52401e-11,-3.835676e-12,2.279702e-09,9.764648e-11,9.648295e-11,1.09383e-11,-0.4210703,0.0747818,0.5285337,-0.07856251
12,0.11,1e-07,5e-07,1.113725e-10,-4.94763e-12,2.977764e-09,1.259424e-10,1.260475e-10,1.410816e-11,-0.4110703,0.07480274,0.5185337,-0.07856974
13,0.12,1e-07,5e-07,1.455047e-10,-6.381777e-12,3.889114e-09,1.624318e-10,1.646555e-10,1.819598e-11,-0.4010703,0.07482664,0.5085337,-0.07857795
